Motif	Factor	Evidence	Curated
M00873_2.00	AT3G10760	PBM	N
M00873_2.00	AT3G46640	PBM	N
M00874_2.00	AT5G44190	PBM	N
M00874_2.00	AT2G20570	PBM	Y
M00875_2.00	AT5G37260	PBM	N
M00875_2.00	AT2G46830	PBM	Y
M00876_2.00	AT3G48920	PBM	N
M00876_2.00	AT1G57560	PBM	N
M00876_2.00	AT5G65230	PBM	N
M00876_2.00	AT5G52260	PBM	N
M00876_2.00	AT4G01680	PBM	Y
M00876_2.00	AT5G26660	PBM	N
M00876_2.00	AT3G13890	PBM	N
M00876_2.00	AT4G25560	PBM	N
M00876_2.00	AT1G63910	PBM	N
M00877_2.00	AT1G63910	PBM	N
M00877_2.00	AT3G13890	PBM	N
M00877_2.00	AT1G57560	PBM	N
M00877_2.00	AT5G26660	PBM	N
M00877_2.00	AT5G12870	PBM	Y
M00878_2.00	AT4G17695	PBM	N
M00878_2.00	AT5G16560	PBM	Y
M00879_2.00	AT5G17300	PBM	Y
M00879_2.00	AT5G37260	PBM	N
M00880_2.00	AT5G28300	PBM	Y
M00881_2.00	AT5G42630	PBM	Y
M00881_2.00	AT4G17695	PBM	N
M00882_2.00	AT5G35550	PBM	N
M00882_2.00	AT3G62610	PBM	N
M00882_2.00	AT4G09460	PBM	N
M00882_2.00	AT3G13540	PBM	N
M00882_2.00	AT1G35515	PBM	N
M00882_2.00	AT2G47460	PBM	N
M00882_2.00	AT5G49330	PBM	Y
M00883_2.00	AT5G59780	PBM	Y
M00883_2.00	AT4G13480	PBM	N
M00883_2.00	AT3G24310	PBM	N
M00883_2.00	AT3G46130	PBM	N
M00883_2.00	AT2G47190	PBM	N
M00884_2.00	AT3G04060	PBM	Y
M00885_2.00	AT3G15500	PBM	Y
M00885_2.00	AT4G27410	PBM	N
M00886_2.00	AT3G18400	PBM	Y
M00887_2.00	AT5G50570	PBM	N
M00887_2.00	AT2G47070	PBM	Y
M00888_2.00	AT5G18830	PBM	Y
M00889_2.00	AT2G26580	PBM	Y
M00889_2.00	AT1G08465	PBM	N
M00889_2.00	AT4G00180	PBM	N
M00890_2.00	AT4G00180	PBM	N
M00890_2.00	AT2G45190	PBM	Y
M00890_2.00	AT1G08465	PBM	N
M00891_2.00	AT5G41030	PBM	N
M00891_2.00	AT1G35560	PBM	Y
M00892_2.00	AT5G41030	PBM	N
M00892_2.00	AT1G69690	PBM	Y
M00893_2.00	AT3G45150	PBM	Y
M00894_2.00	AT1G63480	PBM	Y
M00895_2.00	AT3G51060	PBM	Y
M00896_2.00	AT4G14465	PBM	Y
M00897_2.00	AT4G35390	PBM	Y
M00898_2.00	AT5G43290	PBM	N
M00898_2.00	AT4G39410	PBM	N
M00898_2.00	AT5G28650	PBM	N
M00898_2.00	AT1G64000	PBM	N
M00898_2.00	AT3G01080	PBM	N
M00898_2.00	AT2G44745	PBM	Y
M00898_2.00	AT3G04670	PBM	N
M00899_2.00	AT3G01970	PBM	Y
M00899_2.00	AT4G39410	PBM	N
M00899_2.00	AT1G64000	PBM	N
M00899_2.00	AT3G62340	PBM	N
M00900_2.00	AT5G15130	PBM	N
M00900_2.00	AT1G68150	PBM	N
M00900_2.00	AT4G31800	PBM	Y
M00901_2.00	AT1G66560	PBM	N
M00901_2.00	AT5G22570	PBM	Y
M00901_2.00	AT1G66550	PBM	N
M00901_2.00	AT1G80590	PBM	N
M00962_2.00	AT1G12610	PBM	Y
M00963_2.00	AT1G63030	PBM	Y
M00969_2.00	AT1G01010	PBM	Y
M00970_2.00	AT1G77450	PBM	N
M00970_2.00	AT1G62700	PBM	N
M00970_2.00	AT1G01720	PBM	Y
M00970_2.00	AT5G08790	PBM	N
M00970_2.00	AT5G63790	PBM	N
M00971_2.00	AT1G33280	PBM	N
M00971_2.00	AT1G32770	PBM	Y
M00972_2.00	AT4G27410	PBM	N
M00972_2.00	AT1G52890	PBM	Y
M00973_2.00	AT1G69490	PBM	Y
M00974_2.00	AT1G71930	PBM	Y
M00975_2.00	AT2G27300	PBM	Y
M00976_2.00	AT3G15500	PBM	Y
M00976_2.00	AT4G27410	PBM	N
M00977_2.00	AT3G49530	PBM	Y
M00978_2.00	AT3G61910	PBM	Y
M00979_2.00	AT5G39610	PBM	Y
M00980_2.00	AT5G66300	PBM	Y
M00981_2.00	AT2G42400	PBM	Y
M00982_2.00	AT5G43290	PBM	N
M00982_2.00	AT1G55600	PBM	N
M00982_2.00	AT5G45050	PBM	N
M00982_2.00	AT2G34830	PBM	N
M00982_2.00	AT2G04880	PBM	Y
M00982_2.00	AT3G01080	PBM	N
M00982_2.00	AT5G28650	PBM	N
M00982_2.00	AT3G58710	PBM	N
M00982_2.00	AT4G39410	PBM	N
M00982_2.00	AT3G62340	PBM	N
M00982_2.00	AT3G04670	PBM	N
M00982_2.00	AT1G64000	PBM	N
M01045_2.00	AT1G04370	PBM	Y
M01045_2.00	AT5G61590	PBM	N
M01045_2.00	AT1G24590	PBM	N
M01046_2.00	AT2G46310	PBM	N
M01046_2.00	AT4G11140	PBM	N
M01046_2.00	AT2G47520	PBM	N
M01046_2.00	AT1G53910	PBM	Y
M01046_2.00	AT3G61630	PBM	N
M01047_2.00	AT1G68550	PBM	Y
M01048_2.00	AT2G23340	PBM	Y
M01049_2.00	AT2G40350	PBM	N
M01049_2.00	AT2G40340	PBM	Y
M01050_2.00	AT1G24590	PBM	N
M01050_2.00	AT2G47520	PBM	N
M01050_2.00	AT3G16770	PBM	Y
M01051_2.00	AT5G64750	PBM	Y
M01051_2.00	AT5G61890	PBM	N
M01051_2.00	AT5G50080	PBM	N
M01052_2.00	AT1G25330	PBM	N
M01052_2.00	AT2G42300	PBM	N
M01052_2.00	AT1G68920	PBM	Y
M01052_2.00	AT3G57800	PBM	N
M01052_2.00	AT4G34530	PBM	N
M01052_2.00	AT1G26260	PBM	N
M01052_2.00	AT5G50915	PBM	N
M01052_2.00	AT5G62610	PBM	N
M01052_2.00	AT3G07340	PBM	N
M01053_2.00	AT1G08320	PBM	Y
M01054_2.00	AT1G22070	PBM	Y
M01055_2.00	AT3G12250	PBM	Y
M01056_2.00	AT3G19290	PBM	Y
M01057_2.00	AT3G19290	PBM	Y
M01058_2.00	AT3G56850	PBM	Y
M01058_2.00	AT2G17770	PBM	N
M01058_2.00	AT2G41070	PBM	N
M01058_2.00	AT4G35900	PBM	N
M01059_2.00	AT3G56850	PBM	Y
M01059_2.00	AT4G35900	PBM	N
M01059_2.00	AT2G41070	PBM	N
M01059_2.00	AT2G17770	PBM	N
M01060_2.00	AT3G45260	PBM	Y
M01061_2.00	AT3G50700	PBM	Y
M01062_2.00	AT1G64620	PBM	Y
M01062_2.00	AT2G28510	PBM	N
M01062_2.00	AT3G61850	PBM	N
M01062_2.00	AT4G00940	PBM	N
M01062_2.00	AT5G62430	PBM	N
M01062_2.00	AT1G07640	PBM	N
M01062_2.00	AT2G34140	PBM	N
M01062_2.00	AT1G26790	PBM	N
M01062_2.00	AT1G28310	PBM	N
M01062_2.00	AT4G24060	PBM	N
M01062_2.00	AT4G21050	PBM	N
M01062_2.00	AT1G21340	PBM	N
M01063_2.00	AT1G21340	PBM	N
M01063_2.00	AT1G26790	PBM	N
M01063_2.00	AT2G28510	PBM	N
M01063_2.00	AT3G61850	PBM	N
M01063_2.00	AT5G62430	PBM	N
M01063_2.00	AT5G62940	PBM	Y
M01063_2.00	AT1G28310	PBM	N
M01063_2.00	AT1G07640	PBM	N
M01063_2.00	AT2G34140	PBM	N
M01063_2.00	AT4G24060	PBM	N
M01063_2.00	AT4G00940	PBM	N
M01063_2.00	AT4G21050	PBM	N
M01064_2.00	AT1G75410	PBM	N
M01064_2.00	AT1G75430	PBM	N
M01064_2.00	AT1G19700	PBM	N
M01064_2.00	AT1G62990	PBM	Y
M01064_2.00	AT4G32040	PBM	N
M01065_2.00	AT2G01430	PBM	N
M01065_2.00	AT2G44910	PBM	Y
M01065_2.00	AT5G06710	PBM	N
M01065_2.00	AT4G16780	PBM	N
M01065_2.00	AT2G22800	PBM	N
M01066_2.00	AT3G03760	PBM	N
M01066_2.00	AT4G00220	PBM	Y
M01066_2.00	AT3G58190	PBM	N
M01067_2.00	AT3G58190	PBM	N
M01067_2.00	AT4G00220	PBM	Y
M01067_2.00	AT3G03760	PBM	N
M01068_2.00	AT1G13300	PBM	Y
M01068_2.00	AT3G25790	PBM	N
M01069_2.00	AT5G37260	PBM	N
M01069_2.00	AT1G18330	PBM	Y
M01070_2.00	AT1G49950	PBM	Y
M01070_2.00	AT1G17520	PBM	N
M01070_2.00	AT3G49850	PBM	N
M01071_2.00	AT3G55730	PBM	N
M01071_2.00	AT2G23290	PBM	Y
M01071_2.00	AT2G39880	PBM	N
M01072_2.00	AT3G01530	PBM	Y
M01072_2.00	AT3G27810	PBM	N
M01073_2.00	AT1G57560	PBM	N
M01073_2.00	AT5G26660	PBM	N
M01073_2.00	AT3G13890	PBM	N
M01073_2.00	AT1G63910	PBM	N
M01073_2.00	AT3G08500	PBM	Y
M01074_2.00	AT3G09600	PBM	Y
M01074_2.00	AT5G37260	PBM	N
M01074_2.00	AT1G01520	PBM	N
M01075_2.00	AT3G11280	PBM	Y
M01076_2.00	AT3G11440	PBM	Y
M01076_2.00	AT5G55020	PBM	N
M01076_2.00	AT4G26930	PBM	N
M01077_2.00	AT1G79430	PBM	N
M01077_2.00	AT3G12730	PBM	Y
M01078_2.00	AT1G70000	PBM	N
M01078_2.00	AT3G16350	PBM	Y
M01079_2.00	AT1G01520	PBM	N
M01079_2.00	AT4G01280	PBM	Y
M01079_2.00	AT5G37260	PBM	N
M01080_2.00	AT4G09450	PBM	Y
M01081_2.00	AT5G52660	PBM	Y
M01081_2.00	AT1G01520	PBM	N
M01081_2.00	AT5G37260	PBM	N
M01082_2.00	AT2G39880	PBM	N
M01082_2.00	AT5G67300	PBM	Y
M01082_2.00	AT3G55730	PBM	N
M01083_2.00	AT1G17520	PBM	N
M01083_2.00	AT3G49850	PBM	N
M01083_2.00	AT5G67580	PBM	Y
M01084_2.00	AT1G27370	PBM	Y
M01085_2.00	AT1G61730	PBM	N
M01085_2.00	AT4G00390	PBM	Y
M01086_2.00	AT2G45680	PBM	Y
M01086_2.00	AT5G41030	PBM	N
M01087_2.00	AT3G16160	PBM	N
M01087_2.00	AT2G23380	PBM	N
M01087_2.00	AT4G02020	PBM	N
M01087_2.00	AT3G22760	PBM	Y
M01088_2.00	AT2G42040	PBM	Y
M01089_2.00	AT3G04670	PBM	N
M01089_2.00	AT1G64000	PBM	N
M01089_2.00	AT3G01080	PBM	N
M01089_2.00	AT2G47260	PBM	Y
M01089_2.00	AT3G62340	PBM	N
M01089_2.00	AT3G58710	PBM	N
M01089_2.00	AT2G34830	PBM	N
M01089_2.00	AT5G43290	PBM	N
M01089_2.00	AT4G39410	PBM	N
M01089_2.00	AT5G28650	PBM	N
M01089_2.00	AT5G45050	PBM	N
M01090_2.00	AT3G01080	PBM	N
M01090_2.00	AT4G11070	PBM	N
M01090_2.00	AT5G45260	PBM	N
M01090_2.00	AT4G23810	PBM	Y
M01090_2.00	AT2G40750	PBM	N
M01092_2.00	AT1G22810	PBM	Y
M01092_2.00	AT1G71520	PBM	N
M01093_2.00	AT3G25890	PBM	Y
M01094_2.00	AT5G11590	PBM	N
M01094_2.00	AT2G25820	PBM	N
M01094_2.00	AT5G25810	PBM	Y
M01095_2.00	AT5G61890	PBM	N
M01095_2.00	AT3G61630	PBM	N
M01095_2.00	AT2G46310	PBM	N
M01095_2.00	AT2G47520	PBM	N
M01095_2.00	AT5G61590	PBM	N
M01095_2.00	AT4G11140	PBM	N
M01097_2.00	AT2G40350	PBM	N
M01099_2.00	AT1G28360	PBM	N
M01100_2.00	AT1G49120	PBM	N
M01100_2.00	AT1G24590	PBM	N
M01100_2.00	AT1G12980	PBM	N
M01100_2.00	AT4G11140	PBM	N
M01100_2.00	AT1G28360	PBM	N
M01103_2.00	AT1G19485	PBM	N
M01103_2.00	AT4G21895	PBM	N
M01103_2.00	AT1G48610	PBM	N
M01103_2.00	AT2G45850	PBM	N
M01103_2.00	AT5G62260	PBM	N
M01104_2.00	AT5G62260	PBM	N
M01104_2.00	AT1G48610	PBM	N
M01104_2.00	AT2G45850	PBM	N
M01104_2.00	AT4G21895	PBM	N
M01104_2.00	AT1G19485	PBM	N
M01105_2.00	AT1G48610	PBM	N
M01105_2.00	AT1G19485	PBM	N
M01105_2.00	AT2G45850	PBM	N
M01105_2.00	AT5G62260	PBM	N
M01105_2.00	AT4G21895	PBM	N
M01106_2.00	AT1G48610	PBM	N
M01106_2.00	AT4G21895	PBM	N
M01106_2.00	AT5G62260	PBM	N
M01106_2.00	AT2G45850	PBM	N
M01106_2.00	AT1G19485	PBM	N
M01107_2.00	AT2G45850	PBM	N
M01107_2.00	AT5G62260	PBM	N
M01107_2.00	AT1G48610	PBM	N
M01107_2.00	AT1G19485	PBM	N
M01107_2.00	AT4G21895	PBM	N
M01108_2.00	AT5G62260	PBM	N
M01108_2.00	AT1G48610	PBM	N
M01108_2.00	AT4G21895	PBM	N
M01108_2.00	AT1G19485	PBM	N
M01108_2.00	AT2G45850	PBM	N
M01119_2.00	AT5G41315	PBM	N
M01120_2.00	AT2G24260	PBM	N
M01120_2.00	AT5G58010	PBM	N
M01120_2.00	AT5G67110	PBM	N
M01120_2.00	AT2G46970	PBM	N
M01121_2.00	AT1G26260	PBM	N
M01121_2.00	AT5G62610	PBM	N
M01121_2.00	AT4G34530	PBM	N
M01121_2.00	AT5G50915	PBM	N
M01121_2.00	AT3G07340	PBM	N
M01121_2.00	AT3G57800	PBM	N
M01121_2.00	AT2G42300	PBM	N
M01122_2.00	AT4G34530	PBM	N
M01122_2.00	AT5G62610	PBM	N
M01122_2.00	AT5G50915	PBM	N
M01122_2.00	AT1G26260	PBM	N
M01122_2.00	AT3G07340	PBM	N
M01122_2.00	AT3G57800	PBM	N
M01122_2.00	AT1G25330	PBM	N
M01122_2.00	AT2G42300	PBM	N
M01123_2.00	AT3G25710	PBM	N
M01123_2.00	AT1G68810	PBM	N
M01124_2.00	AT4G09820	PBM	N
M01124_2.00	AT2G46510	PBM	N
M01125_2.00	AT5G56960	PBM	N
M01126_2.00	AT3G19860	PBM	N
M01127_2.00	AT4G37850	PBM	N
M01127_2.00	AT4G16430	PBM	N
M01127_2.00	AT2G46510	PBM	N
M01132_2.00	AT3G17609	PBM	Y
M01133_2.00	AT2G17770	PBM	N
M01133_2.00	AT2G41070	PBM	N
M01133_2.00	AT3G56850	PBM	Y
M01133_2.00	AT4G35900	PBM	N
M01134_2.00	AT5G65210	PBM	Y
M01154_2.00	AT3G54620	PBM	N
M01159_2.00	AT4G38900	PBM	N
M01161_2.00	AT2G41070	PBM	N
M01161_2.00	AT3G44460	PBM	N
M01162_2.00	AT4G35900	PBM	N
M01167_2.00	AT1G02030	PBM	Y
M01167_2.00	AT2G28710	PBM	N
M01168_2.00	AT5G43170	PBM	N
M01168_2.00	AT2G28710	PBM	N
M01168_2.00	AT2G45120	PBM	Y
M01212_2.00	AT5G62430	PBM	N
M01212_2.00	AT4G21050	PBM	N
M01212_2.00	AT1G07640	PBM	N
M01212_2.00	AT2G28510	PBM	N
M01212_2.00	AT1G26790	PBM	N
M01212_2.00	AT1G28310	PBM	N
M01212_2.00	AT2G46590	PBM	Y
M01212_2.00	AT3G61850	PBM	N
M01212_2.00	AT4G00940	PBM	N
M01212_2.00	AT4G24060	PBM	N
M01212_2.00	AT2G34140	PBM	N
M01212_2.00	AT1G21340	PBM	N
M01213_2.00	AT3G61850	PBM	N
M01213_2.00	AT5G62430	PBM	N
M01213_2.00	AT2G28510	PBM	N
M01213_2.00	AT2G34140	PBM	N
M01213_2.00	AT4G21050	PBM	N
M01213_2.00	AT1G07640	PBM	N
M01213_2.00	AT4G24060	PBM	N
M01213_2.00	AT1G26790	PBM	N
M01213_2.00	AT1G21340	PBM	N
M01213_2.00	AT4G00940	PBM	N
M01213_2.00	AT1G28310	PBM	N
M01214_2.00	AT1G28310	PBM	N
M01214_2.00	AT1G21340	PBM	N
M01214_2.00	AT1G26790	PBM	N
M01214_2.00	AT3G61850	PBM	N
M01214_2.00	AT5G62430	PBM	N
M01214_2.00	AT4G21050	PBM	N
M01214_2.00	AT4G24060	PBM	N
M01214_2.00	AT1G07640	PBM	N
M01214_2.00	AT2G28510	PBM	N
M01214_2.00	AT2G34140	PBM	N
M01214_2.00	AT4G00940	PBM	N
M01215_2.00	AT1G21340	PBM	N
M01215_2.00	AT2G28510	PBM	N
M01215_2.00	AT5G62430	PBM	N
M01215_2.00	AT1G07640	PBM	N
M01215_2.00	AT1G26790	PBM	N
M01215_2.00	AT4G24060	PBM	N
M01215_2.00	AT1G28310	PBM	N
M01215_2.00	AT4G00940	PBM	N
M01215_2.00	AT2G34140	PBM	N
M01215_2.00	AT4G21050	PBM	N
M01215_2.00	AT3G61850	PBM	N
M01216_2.00	AT4G00940	PBM	N
M01216_2.00	AT4G21050	PBM	N
M01216_2.00	AT1G07640	PBM	N
M01216_2.00	AT3G61850	PBM	N
M01216_2.00	AT1G21340	PBM	N
M01216_2.00	AT4G24060	PBM	N
M01216_2.00	AT5G62430	PBM	N
M01216_2.00	AT2G34140	PBM	N
M01216_2.00	AT2G28510	PBM	N
M01216_2.00	AT1G28310	PBM	N
M01216_2.00	AT1G26790	PBM	N
M01217_2.00	AT2G34140	PBM	N
M01217_2.00	AT4G00940	PBM	N
M01217_2.00	AT1G21340	PBM	N
M01217_2.00	AT1G07640	PBM	N
M01217_2.00	AT1G26790	PBM	N
M01217_2.00	AT3G61850	PBM	N
M01217_2.00	AT4G24060	PBM	N
M01217_2.00	AT4G21050	PBM	N
M01217_2.00	AT2G28510	PBM	N
M01217_2.00	AT5G62430	PBM	N
M01217_2.00	AT1G28310	PBM	N
M01218_2.00	AT1G26790	PBM	N
M01218_2.00	AT4G00940	PBM	N
M01218_2.00	AT4G24060	PBM	N
M01218_2.00	AT4G21050	PBM	N
M01218_2.00	AT1G21340	PBM	N
M01218_2.00	AT1G07640	PBM	N
M01218_2.00	AT1G28310	PBM	N
M01218_2.00	AT5G62430	PBM	N
M01218_2.00	AT2G34140	PBM	N
M01218_2.00	AT2G28510	PBM	N
M01218_2.00	AT3G61850	PBM	N
M01219_2.00	AT1G07640	PBM	N
M01219_2.00	AT1G21340	PBM	N
M01219_2.00	AT3G61850	PBM	N
M01219_2.00	AT4G00940	PBM	N
M01219_2.00	AT5G62430	PBM	N
M01219_2.00	AT2G28510	PBM	N
M01219_2.00	AT4G24060	PBM	N
M01219_2.00	AT4G21050	PBM	N
M01219_2.00	AT2G34140	PBM	N
M01219_2.00	AT1G26790	PBM	N
M01219_2.00	AT1G28310	PBM	N
M01220_2.00	AT4G00940	PBM	N
M01220_2.00	AT2G34140	PBM	N
M01220_2.00	AT4G24060	PBM	N
M01220_2.00	AT4G21050	PBM	N
M01220_2.00	AT3G61850	PBM	N
M01220_2.00	AT1G07640	PBM	N
M01220_2.00	AT1G28310	PBM	N
M01220_2.00	AT5G62430	PBM	N
M01220_2.00	AT1G21340	PBM	N
M01220_2.00	AT2G28510	PBM	N
